,team,boot_mean,boot_std,ci_lower,ci_upper,ci_width
1,peru,0.3589,0.0911,0.1633,0.5275,0.36419999999999997
2,brazil,0.3503,0.0996,0.1754,0.5387,0.36329999999999996
3,netherlands,0.3148,0.0948,0.1543,0.5008,0.34650000000000003
4,china,0.2105,0.0975,0.0176,0.3928,0.3752
5,pakistan,0.1943,0.0983,0.0098,0.3848,0.375
6,thailand,0.1595,0.072,0.0189,0.2879,0.269
7,panama,0.159,0.1033,-0.0553,0.3484,0.4037
8,uk,0.1447,0.0885,-0.0167,0.3229,0.3396
9,india,0.1351,0.099,-0.0584,0.3321,0.3905
10,iceland,0.1341,0.0974,-0.0504,0.3047,0.3551
11,ethiopia,0.0733,0.076,-0.0538,0.2206,0.2744
12,indonesia,0.0693,0.0856,-0.0968,0.2545,0.3513
13,philippines,0.0442,0.0916,-0.1395,0.2215,0.361
14,serbia,0.0145,0.0811,-0.1415,0.1631,0.3046
15,guatemala,-0.0259,0.0977,-0.2111,0.1469,0.358
16,new_zealand,-0.0264,0.0878,-0.204,0.1374,0.3414
17,saudi_arabia,-0.0485,0.0991,-0.2293,0.1495,0.3788
18,south_korea,-0.0593,0.0739,-0.2094,0.0907,0.30010000000000003
19,singapore,-0.063,0.0832,-0.2412,0.077,0.3182
20,mexico,-0.073,0.0853,-0.2336,0.0978,0.33140000000000003
21,germany,-0.0762,0.0852,-0.2241,0.1035,0.3276
22,morocco,-0.0933,0.0726,-0.2317,0.0424,0.2741
23,france,-0.0973,0.0701,-0.231,0.0299,0.2609
24,switzerland,-0.1239,0.1044,-0.3154,0.08,0.39540000000000003
25,vietnam,-0.1415,0.0854,-0.3157,0.0213,0.33699999999999997
26,oman,-0.156,0.0739,-0.3236,-0.023,0.3006
27,canada,-0.1664,0.0917,-0.3217,0.0255,0.3472
28,usa,-0.1732,0.0888,-0.3616,-0.0092,0.3524
29,uae,-0.2184,0.0982,-0.4148,-0.0267,0.3881
30,kazakhstan,-0.2502,0.0971,-0.4634,-0.0847,0.3787
31,rwanda,-0.2648,0.0912,-0.4463,-0.1078,0.33849999999999997
32,mongolia,-0.3051,0.1022,-0.5059,-0.104,0.40190000000000003
