model,brier,log_loss,accuracy
Logistic (14 feat),0.24010620194203447,0.6729747776421063,0.5846036585365854
Ensemble (Poisson+LR14),0.24062995556987118,0.6741894300753632,0.5746951219512195
Logistic (20 feat),0.24075175991151757,0.6742871337807408,0.5678353658536586
Poisson,0.24115318686698442,0.6753841959755936,0.5685975609756098
Logistic (6 feat),0.24129928905805317,0.6754514994018309,0.5746951219512195
RF (14 feat),0.24311637862140692,0.6795211725525976,0.5701219512195121
Baseline,0.2471202861496915,0.6874046344436623,0.5640243902439024
GBM (20 feat),0.24858112449603895,0.6927551455320858,0.5449695121951219
GBM (14 feat),0.2503039545064457,0.6965619508839597,0.5647865853658537
Ensemble (Poisson+GBM14),0.2503039545064457,0.6965619508839597,0.5647865853658537
