,team,median_rank,rank_std,pct_top5,pct_top10,min_rank,max_rank
1,brazil,2.0,2.01,91.5,99.0,1,13
2,peru,2.0,1.65,95.5,100.0,1,10
3,netherlands,3.0,1.95,87.0,100.0,1,10
4,china,6.0,3.48,48.5,86.0,1,20
5,pakistan,6.0,3.44,39.0,86.0,1,20
6,thailand,7.5,2.94,25.5,83.0,3,19
7,uk,8.0,3.53,20.0,73.5,2,20
8,iceland,8.0,4.31,23.5,67.5,1,23
9,india,8.0,4.38,19.0,66.5,2,26
10,panama,8.0,4.41,33.0,73.5,1,26
11,ethiopia,12.0,3.98,5.0,40.5,3,25
12,indonesia,12.0,4.28,4.5,39.0,3,25
13,philippines,13.0,4.93,4.0,29.5,1,27
14,serbia,14.0,4.58,1.0,15.5,5,29
15,new_zealand,17.0,5.28,0.0,8.0,6,30
16,guatemala,17.0,5.58,1.0,9.0,3,30
17,south_korea,19.0,4.57,0.5,2.0,5,31
18,singapore,19.0,4.93,0.0,2.5,7,31
19,saudi_arabia,19.0,5.76,1.5,8.0,2,31
20,mexico,20.0,5.16,0.0,3.5,7,31
21,germany,21.0,5.13,0.0,4.0,6,31
22,france,21.0,4.31,0.0,0.0,11,32
23,morocco,22.0,4.41,0.0,0.5,9,31
24,switzerland,24.0,5.83,0.0,2.0,8,32
25,vietnam,24.0,4.68,0.0,0.0,11,32
26,oman,25.0,3.84,0.0,0.0,15,32
27,canada,26.0,4.77,0.0,1.0,9,32
28,usa,26.0,4.44,0.0,0.0,13,32
29,uae,28.0,4.16,0.0,0.0,13,32
30,kazakhstan,29.0,3.34,0.0,0.0,17,32
31,rwanda,30.0,2.93,0.0,0.0,16,32
32,mongolia,31.0,2.68,0.0,0.0,19,32
