team,attack,defense,overall,attack_rank,defense_rank,overall_rank,home_adv,mu,shot_suppression,goalie_adj,boot_mean,boot_std,ci_lower,ci_upper
brazil,0.1491,0.2053,0.3544,3,4,1,0.14841642029745955,0.9625052109887973,0.1098,0.1187,0.3503,0.0996,0.1754,0.5387
peru,0.088,0.263,0.3509,7,2,2,0.14841642029745955,0.9625052109887973,0.1312,0.155,0.3589,0.0911,0.1633,0.5275
netherlands,0.0307,0.2907,0.3214,16,1,3,0.14841642029745955,0.9625052109887973,0.2062,0.1077,0.3148,0.0948,0.1543,0.5008
china,0.0192,0.1878,0.207,18,6,4,0.14841642029745955,0.9625052109887973,0.1018,0.1092,0.2105,0.0975,0.0176,0.3928
pakistan,0.0987,0.1006,0.1993,6,10,5,0.14841642029745955,0.9625052109887973,0.0285,0.0952,0.1943,0.0983,0.0098,0.3848
panama,0.0751,0.0902,0.1653,9,12,6,0.14841642029745955,0.9625052109887973,-0.0252,0.1387,0.159,0.1033,-0.0553,0.3484
thailand,0.2228,-0.0673,0.1555,1,19,7,0.14841642029745955,0.9625052109887973,0.0739,-0.118,0.1595,0.072,0.0189,0.2879
uk,0.0457,0.0947,0.1405,13,11,8,0.14841642029745955,0.9625052109887973,-0.0139,0.1319,0.1447,0.0885,-0.0167,0.3229
iceland,0.023,0.109,0.132,17,8,9,0.14841642029745955,0.9625052109887973,-0.0383,0.1706,0.1341,0.0974,-0.0504,0.3047
india,-0.0687,0.1892,0.1206,25,5,10,0.14841642029745955,0.9625052109887973,0.0354,0.177,0.1351,0.099,-0.0584,0.3321
ethiopia,0.1243,-0.0521,0.0722,5,17,11,0.14841642029745955,0.9625052109887973,-0.1032,0.0743,0.0733,0.076,-0.0538,0.2206
indonesia,-0.0504,0.1069,0.0565,23,9,12,0.14841642029745955,0.9625052109887973,0.0228,0.1073,0.0693,0.0856,-0.0968,0.2545
philippines,-0.1792,0.2305,0.0513,29,3,13,0.14841642029745955,0.9625052109887973,0.0601,0.1936,0.0442,0.0916,-0.1395,0.2215
serbia,0.1368,-0.1248,0.012,4,25,14,0.14841642029745955,0.9625052109887973,-0.0831,-0.0185,0.0145,0.0811,-0.1415,0.1631
guatemala,-0.0145,-0.0139,-0.0284,20,15,15,0.14841642029745955,0.9625052109887973,0.0395,-0.0302,-0.0259,0.0977,-0.2111,0.1469
new_zealand,-0.0667,0.0314,-0.0354,24,13,16,0.14841642029745955,0.9625052109887973,0.0144,0.0401,-0.0264,0.0878,-0.204,0.1374
south_korea,0.2081,-0.2599,-0.0517,2,32,17,0.14841642029745955,0.9625052109887973,-0.0202,-0.2165,-0.0593,0.0739,-0.2094,0.0907
saudi_arabia,-0.1902,0.1348,-0.0554,30,7,18,0.14841642029745955,0.9625052109887973,0.0551,0.1029,-0.0485,0.0991,-0.2293,0.1495
singapore,0.0871,-0.1519,-0.0648,8,29,19,0.14841642029745955,0.9625052109887973,-0.2631,0.1344,-0.063,0.0832,-0.2412,0.077
mexico,-0.0009,-0.0688,-0.0697,19,21,20,0.14841642029745955,0.9625052109887973,0.1159,-0.1616,-0.073,0.0853,-0.2336,0.0978
germany,0.0732,-0.1518,-0.0787,10,28,21,0.14841642029745955,0.9625052109887973,-0.0263,-0.1023,-0.0762,0.0852,-0.2241,0.1035
morocco,0.0646,-0.1508,-0.0862,11,27,22,0.14841642029745955,0.9625052109887973,0.0027,-0.1303,-0.0933,0.0726,-0.2317,0.0424
france,0.0343,-0.1324,-0.0981,15,26,23,0.14841642029745955,0.9625052109887973,0.0282,-0.1375,-0.0973,0.0701,-0.231,0.0299
switzerland,-0.1416,0.0249,-0.1167,26,14,24,0.14841642029745955,0.9625052109887973,0.035,0.0132,-0.1239,0.1044,-0.3154,0.08
vietnam,-0.044,-0.0986,-0.1426,21,22,25,0.14841642029745955,0.9625052109887973,-0.1327,0.0573,-0.1415,0.0854,-0.3157,0.0213
oman,0.0518,-0.1969,-0.1451,12,30,26,0.14841642029745955,0.9625052109887973,-0.146,-0.0278,-0.156,0.0739,-0.3236,-0.023
canada,-0.0485,-0.1173,-0.1658,22,24,27,0.14841642029745955,0.9625052109887973,0.04,-0.1341,-0.1664,0.0917,-0.3217,0.0255
usa,0.0381,-0.2126,-0.1744,14,31,28,0.14841642029745955,0.9625052109887973,-0.1531,-0.0363,-0.1732,0.0888,-0.3616,-0.0092
uae,-0.1502,-0.0675,-0.2177,28,20,29,0.14841642029745955,0.9625052109887973,-0.0003,-0.044,-0.2184,0.0982,-0.4148,-0.0267
kazakhstan,-0.1967,-0.0575,-0.2541,31,18,30,0.14841642029745955,0.9625052109887973,0.0406,-0.0749,-0.2502,0.0971,-0.4634,-0.0847
rwanda,-0.1425,-0.1136,-0.256,27,23,31,0.14841642029745955,0.9625052109887973,-0.0456,-0.0448,-0.2648,0.0912,-0.4463,-0.1078
mongolia,-0.2767,-0.0215,-0.2981,32,16,32,0.14841642029745955,0.9625052109887973,-0.09,0.0917,-0.3051,0.1022,-0.5059,-0.104
